sector_name,last_pct_change,one_day,five_day,one_month,three_month,year_to_date,one_year,three_year,five_year,ten_year
Materials (.GSPM),0.0337,0.0337,0.033,-0.0275,-0.0489,0.0069,-0.076,0.4073,0.33659999999999995,0.9483
Energy (.GSPE),0.0296,0.0296,0.009300000000000001,-0.0565,-0.061399999999999996,-0.09210000000000002,-0.08839999999999999,1.0587,0.0874,0.0331
Industrials (.GSPI),0.0296,0.0296,0.0336,0.0011,-0.004,0.024399999999999998,0.0736,0.49079999999999996,0.3505,1.2686
Consumer Discretionary (.GSPD),0.022000000000000002,0.022000000000000002,0.057300000000000004,0.0779,0.1017,0.22219999999999998,0.0245,0.215,0.45159999999999995,1.7681
Financials (.GSPF),0.0218,0.0218,0.0287,-0.0106,-0.079,-0.045,-0.059699999999999996,0.38799999999999996,0.19519999999999998,1.0393999999999999
Real Estate (.GSPRE),0.0209,0.0209,0.042699999999999995,-0.0171,-0.024,-0.0079,-0.1568,0.0538,0.1815,NA
Consumer Staples (.GSPS),0.0139,0.0139,0.0063,-0.0507,0.0281,-0.015600000000000001,0.006500000000000001,0.2583,0.5102,0.8603000000000001
Health Care (.GSPA),0.013300000000000001,0.013300000000000001,0.020099999999999996,-0.030899999999999997,0.0262,-0.0437,1e-4,0.2783,0.575,1.7272999999999998
Utilities (.GSPU),0.0102,0.0101,0.0069,-0.0635,0.0171,-0.08310000000000001,-0.12369999999999999,0.0767,0.2991,0.7277
Information Technology (.GSPT),0.0051,0.0051,0.0408,0.11109999999999999,0.2495,0.358,0.2066,0.7161,1.3644999999999998,4.8067
Communication Services (.GSPL),0.001,0.001,0.0285,0.0761,0.23670000000000002,0.3383,0.06559999999999999,0.1697,0.4686,0.376
S&P 500 Â® Index (.SPX),0.014499999999999999,0.014499999999999999,0.0316,0.0275,0.08380000000000001,0.1153,0.044199999999999996,0.4014,0.5660000000000001,1.626
